,game_date,game_id,batter_id,at_bats,hits,strikeouts,strikeouts_looking,base_on_balls,hit_by_pitch,singles,doubles,triples,hrs,bip_location,name
151,4/8/2023 15:00,205969,1600762,1,0,1,0,0,0,0,0,0,0,NULL,St*****y
152,4/8/2023 15:00,205969,1600675,1,0,0,0,0,0,0,0,0,0,10,Do**d
153,4/8/2023 15:00,205969,1631011,1,0,0,0,0,0,0,0,0,0,11,Ma*******n
154,4/8/2023 15:00,205969,1651897,1,1,0,0,0,0,1,0,0,0,15,Me***e
155,4/8/2023 15:00,205969,1674816,1,0,0,0,0,0,0,0,0,0,5,Vo*****a
156,4/8/2023 15:00,205969,1674820,1,0,0,0,0,0,0,0,0,0,4,Gr*****d
157,4/8/2023 15:00,205969,1674818,1,0,0,0,0,0,0,0,0,0,8,Ne*****d
158,4/8/2023 15:00,205969,1651898,1,0,0,0,0,0,0,0,0,0,0,Bo**********t
159,4/8/2023 15:00,205969,1600251,1,0,0,0,0,0,0,0,0,0,4,Ka******r
160,4/8/2023 12:00,205970,1651898,1,1,0,0,0,0,1,0,0,0,11,Bo**********t
161,4/8/2023 12:00,205970,1600251,1,0,0,0,0,0,0,0,0,0,8,Ka******r
162,4/8/2023 12:00,205970,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
163,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,6,Do**d
164,4/8/2023 12:00,205970,1674818,0,0,0,0,1,0,0,0,0,0,NULL,Ne*****d
165,4/8/2023 12:00,205970,1651897,1,0,0,0,0,0,0,0,0,0,2,Me***e
166,4/8/2023 12:00,205970,1674816,1,1,0,0,0,0,0,1,0,0,15,Vo*****a
167,4/8/2023 12:00,205970,1674820,1,0,1,0,0,0,0,0,0,0,NULL,Gr*****d
168,4/8/2023 12:00,205970,1599778,1,0,0,0,0,0,0,0,0,0,0,Wo**d
169,4/8/2023 12:00,205970,1651898,1,0,0,0,0,0,0,0,0,0,6,Bo**********t
170,4/8/2023 12:00,205970,1600251,1,0,0,0,0,0,0,0,0,0,8,Ka******r
171,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,6,St*****y
172,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,13,Do**d
173,4/8/2023 12:00,205970,1674818,1,0,1,0,0,0,0,0,0,0,NULL,Ne*****d
174,4/8/2023 12:00,205970,1651897,1,0,0,0,0,0,0,0,0,0,5,Me***e
175,4/8/2023 12:00,205970,1674816,1,0,0,0,0,0,0,0,0,0,4,Vo*****a
176,4/8/2023 12:00,205970,1674820,1,0,0,0,0,0,0,0,0,0,6,Gr*****d
177,4/8/2023 12:00,205970,1599778,1,0,0,0,0,0,0,0,0,0,4,Wo**d
178,4/8/2023 12:00,205970,1651898,0,0,0,0,1,0,0,0,0,0,NULL,Bo**********t
179,4/8/2023 12:00,205970,1600251,1,0,0,0,0,0,0,0,0,0,5,Ka******r
180,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,13,St*****y
181,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,8,Do**d
182,4/8/2023 12:00,205970,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
183,4/8/2023 12:00,205970,1651897,1,1,0,0,0,0,1,0,0,0,15,Me***e
184,4/8/2023 12:00,205970,1674816,0,0,0,0,0,0,0,0,0,0,15,Vo*****a
185,4/8/2023 12:00,205970,1674820,1,1,0,0,0,0,1,0,0,0,11,Gr*****d
186,4/8/2023 12:00,205970,1631009,1,0,1,0,0,0,0,0,0,0,NULL,Bu*******e
187,4/8/2023 12:00,205970,1651898,1,0,0,0,0,0,0,0,0,0,5,Bo**********t
188,4/8/2023 12:00,205970,1600251,1,0,1,1,0,0,0,0,0,0,NULL,Ka******r
189,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,5,St*****y
